Dataset Class,Dataset,Vertices,Edges,Density,Maximum degree,Minimum degree,Average degree,Average degree variance,Global clustering coefficient,Average clustering coefficient,Dijkstra Avg Time,SLF-LLL Avg Time,Gunrock Avg Time,Speedup SLF-LLL over Dijkstra,Speedup Gunrock over Dijkstra,Speedup Gunrock over SLF-LLL,Average visited Bellman-Ford,Average visited Dijkstra,Average visited SLF-LLL
delaunay,w_delaunay_n10,1024,6112,0.00583456,12,3,5.96875,1.76074,0.381761,0.435625,0.12829,0.06222,1.3535014000000003,2.0618772099003535,0.09478379556903299,0.045969660615053656,13553.87,9841.06,6888.82
delaunay,w_delaunay_n11,2048,12254,0.00292301,13,3,5.9834,1.94113,0.378586,0.436544,0.26103000000000004,0.12491999999999999,1.8028223000000005,2.089577329490875,0.1447896445478847,0.06929135500487206,29658.28,19531.62,14085.78
delaunay,w_delaunay_n12,4096,24528,0.00146234,14,3,5.98828,1.87047,0.379113,0.434865,0.5400999999999999,0.25399999999999995,2.6161757,2.1263779527559055,0.20644637896453205,0.09708828042397916,67790.34,39029.48,28300.46
delaunay,w_delaunay_n13,8192,49094,0.000731647,12,3,5.99292,1.80293,0.379588,0.4335,1.14178,0.48394000000000004,3.6104249999999998,2.359342067198413,0.31624531737953293,0.13403962137421496,147942.37,78139.11,56391.61
delaunay,w_delaunay_n14,16384,98244,0.00036601,16,3,5.99634,1.81761,0.379391,0.433811,2.3977199999999996,1.0731600000000001,4.7313198,2.2342614335234257,0.506776143096478,0.22682043179579622,319593.64,156295.95,113689.34
delaunay,w_delaunay_n15,32768,196548,0.000183055,18,3,5.99817,1.83715,0.37909,0.433919,5.17944,2.2425699999999997,6.091836000000001,2.3096001462607636,0.8502264341981628,0.3681271130739566,654454.36,312361.48,231417.64
delaunay,w_delaunay_n16,65536,393150,9.15388e-05,17,3,5.99899,1.83115,0.379336,0.434223,11.07102,4.527109999999999,8.737772,2.445493924380014,1.267030085014807,0.5181080485963697,1652741.3,626751.1,462184.89
delaunay,w_delaunay_n17,131072,786352,4.57721e-05,17,3,5.99939,1.80782,0.37947,0.433647,23.03759,9.108740000000001,12.330925,2.529174177767726,1.8682775217593166,0.7386907308251409,4330486.0,1252557.5,925419.06
delaunay,w_delaunay_n18,262144,1572792,2.28872e-05,21,3,5.99973,1.79859,0.379532,0.433433,48.30794000000001,18.76563,18.598259000000002,2.5742775489019025,2.597444201631992,1.008999283212477,10929481.4,2509077.3,1846215.9
delaunay,w_delaunay_n19,524288,3145646,1.14438e-05,21,3,5.99984,1.79118,0.379662,0.433431,101.10677,39.06254,98.17392899999999,2.5883306615494024,1.0298739291568948,0.3978911753648976,27592515.0,5023883.3,3713820.2
