Dataset Class,Dataset,Vertices,Edges,Density,Maximum degree,Minimum degree,Average degree,Average degree variance,Global clustering coefficient,Average clustering coefficient,Dijkstra Avg Time,SLF-LLL Avg Time,Gunrock Avg Time,Speedup SLF-LLL over Dijkstra,Speedup Gunrock over Dijkstra,Speedup Gunrock over SLF-LLL,Average visited Dijkstra,Average visited SLF-LLL,Average visited Gunrock
random1000,rand1000_010,1000,1052,0.00105305,6,0,1.052,1.0073,0.00376648,0.000333333,0.00235,0.00109,0.40212778,2.1559633027522938,0.005843913593833284,0.002710581198841821,15.36,15.3,14.71
random1000,rand1000_020,1000,1906,0.00190791,7,0,1.906,1.91116,0.00329852,0.00233333,0.12811,0.056289999999999986,1.3622143400000002,2.2758926985254937,0.09404540551232193,0.041322425074456326,1201.63,1161.97,1647.2
random1000,rand1000_039,1000,3942,0.00394595,12,0,3.942,3.84864,0.00271915,0.00513095,0.32094,0.14090999999999998,1.2277235,2.2776240153289335,0.2614106515025574,0.11477339971092838,4870.18,4087.56,7489.17
random1000,rand1000_078,1000,7721,0.00772873,17,0,7.721,7.31116,0.00824269,0.0191179,0.47656999999999994,0.21469000000000002,1.24788282,2.219805300666076,0.3819028456534083,0.17204339747220818,13225.01,9634.81,21546.2
random1000,rand1000_1,1000,15561,0.0155766,33,5,15.561,14.5143,0.0157446,0.0209172,0.7180599999999998,0.32382,1.2503726999999998,2.2174664937310844,0.5742767736371723,0.2589787828860947,35638.24,21967.76,57625.7
random1000,rand1000_3,1000,31189,0.0312202,50,16,31.189,29.4633,0.031272,0.0353919,1.04108,0.45775,1.1774400999999999,2.2743418896777716,0.8841893528171837,0.38876712284556986,89472.2,45220.68,134280.29
random1000,rand1000_6,1000,62633,0.0626957,93,41,62.633,58.3543,0.0624364,0.066616,1.5150099999999997,0.6600500000000001,1.4067611,2.295295810923414,1.0769490285166399,0.4691983592665451,211392.38,88186.85,310588.93
random1000,rand1000_12,1000,125158,0.125283,166,86,125.158,112.499,0.125215,0.129042,2.31957,0.96332,1.5680315999999999,2.407891458705311,1.4792877898634187,0.6143498638675394,479714.94,165993.82,628928.99
random1000,rand1000_25,1000,249403,0.249653,293,204,249.403,194.883,0.249144,0.252187,3.35093,1.3391599999999997,1.9562435999999999,2.502262612383883,1.712941067257677,0.6845568721605018,1056258.4,313212.32,1231365.14
random1000,rand1000_50,1000,499543,0.500043,550,448,499.543,274.978,0.500573,0.502769,6.387899999999999,1.0607300000000002,2.730028,6.022173408878789,2.3398661112633277,0.38854180250165943,2273357.2,606255.01,2479357.79
random1000,rand1000_100,1000,999000,1.0,999,999,999.0,0.0,1.0,1.0,8.54463,1.7875100000000002,3.597654699999999,4.780185845114152,2.3750556160934515,0.4968542422929028,4813951.7,1220298.9,3382683.93
random2000,rand2000_010,2000,3871,0.000968234,8,0,1.9355,1.92834,0.00133726,0.000666667,0.27767,0.12011000000000002,1.4750315600000006,2.31179751894097,0.1882468196138121,0.08142876617500983,2747.2,2649.9,3385.7
random2000,rand2000_020,2000,7807,0.00195273,13,0,3.9035,3.84219,0.00184502,0.00279881,0.6657599999999999,0.29013,1.48561192,2.2946954813359524,0.44813856905510013,0.19529326339815584,9857.46,8366.55,16072.98
random2000,rand2000_039,2000,15731,0.00393472,19,0,7.8655,8.06741,0.00380228,0.00788295,1.04386,0.47041999999999995,1.4163181,2.218995790995281,0.7370236954537261,0.33214289925405877,27684.06,20584.55,47419.19
random2000,rand2000_078,2000,31127,0.00778564,30,3,15.5635,16.117,0.00809388,0.0107948,1.51852,0.6907799999999998,1.4310956000000001,2.1982686238744615,1.0610891403760867,0.48269311987263447,71318.36,45644.24,117175.8
random2000,rand2000_1,2000,62824,0.0157139,56,14,31.412,30.4593,0.0156032,0.0178594,2.19975,0.98064,1.5760311000000002,2.243177924620656,1.3957529137591254,0.6222212239339692,180273.16,96706.46,285403.37
random2000,rand2000_3,2000,125188,0.0313127,92,36,62.594,62.4302,0.0311449,0.0332632,3.1461099999999997,1.3810699999999998,1.6424393999999998,2.278023561441491,1.9155105509524433,0.8408651180676742,424714.15,185726.45,615337.57
random2000,rand2000_6,2000,249772,0.0624742,166,92,124.886,117.69,0.0624338,0.0643481,4.920000000000001,1.75496,1.9388208999999998,2.8034827004604095,2.5376248007229556,0.905168703308284,957680.77,345083.07,1140328.72
random2000,rand2000_12,2000,499255,0.124876,308,198,249.627,226.67,0.12492,0.126736,6.292220000000001,1.23874,2.3591485,5.079532428112438,2.6671572391479392,0.5250792817832366,2114193.1,641821.52,2226966.13
random2000,rand2000_25,2000,1000967,0.250367,569,434,500.483,397.066,0.250414,0.25201,8.66765,2.022,3.2016075,4.286671612265085,2.7072806394912554,0.6315577409160866,4555609.5,1220753.3,4697408.32
random2000,rand2000_50,2000,2000628,0.500407,1081,928,1000.31,513.152,0.500511,0.501492,12.054109999999998,3.48224,4.1895389000000005,3.461596558537033,2.87719252350181,0.8311750011439205,9648938.2,2374039.6,6400527.43
random2000,rand2000_100,2000,3998000,1.0,1999,1999,1999.0,0.0,1.0,1.0,23.613660000000003,6.791690000000001,6.2445675000000005,3.476845969118143,3.7814724558586326,1.0876157556147805,20230221.0,4829923.8,10921456.54
random3000,rand3000_010,3000,8740,0.000971435,11,0,2.91333,2.76582,0.000879297,0.000477778,0.81986,0.3495400000000001,1.6000377199999998,2.34553985237741,0.5124004201600948,0.21845734986797694,9281.12,8363.57,14329.96
random3000,rand3000_020,3000,17242,0.00191642,18,0,5.74733,5.74349,0.00169553,0.00396168,1.3383,0.58776,1.4973313399999997,2.2769497754185384,0.8937901480109275,0.3925383676267673,26408.22,20944.85,46381.94
random3000,rand3000_039,3000,35019,0.0038923,25,2,11.673,11.7707,0.00385264,0.00623572,2.00906,0.9089599999999999,1.5029850800000002,2.210284280936455,1.336713202768453,0.6047698091587175,72900.5,50904.55,128809.05
random3000,rand3000_078,3000,70190,0.00780149,39,9,23.3967,23.0707,0.00770274,0.00935866,2.88032,1.2585499999999998,1.6641724,2.2886019625759806,1.7307822194383227,0.7562617911461575,184173.28,107241.38,303663.4
random3000,rand3000_1,3000,140012,0.0155621,72,23,46.6707,45.2309,0.0154334,0.0169324,4.19191,1.8318299999999998,1.7994489999999999,2.2883728293564363,2.329551990637134,1.017994952899471,445385.14,216660.28,668022.17
random3000,rand3000_3,3000,281433,0.0312808,127,65,93.811,89.7686,0.0312755,0.0326029,6.261080000000001,1.7859400000000003,2.145752,3.5057616717246938,2.917895451105254,0.832314265581484,1034950.7,412979.15,1313836.88
random3000,rand3000_6,3000,561582,0.0624188,235,141,187.194,168.067,0.062508,0.0637418,7.785739999999999,1.6084500000000004,2.0120836,4.84052348534303,3.869491307418836,0.7993952139960787,2291350.2,760940.46,2344494.43
random3000,rand3000_12,3000,1123765,0.124904,445,308,374.588,331.198,0.124859,0.126035,11.342239999999997,2.56282,3.1871659000000006,4.425687328801866,3.558722813895566,0.8041062437320879,4980227.3,1407086.8,5033919.17
random3000,rand3000_25,3000,2250078,0.250092,839,669,750.026,552.734,0.250039,0.250978,16.07502,4.23102,4.4132852,3.7993249854644975,3.6424158583723525,0.9587007882472677,10612894.0,2683092.0,9021233.46
