Dataset Class,Dataset,Vertices,Edges,Density,Maximum degree,Minimum degree,Average degree,Average degree variance,Global clustering coefficient,Average clustering coefficient,Dijkstra Avg Time,SLF-LLL Avg Time,Gunrock Avg Time,Speedup SLF-LLL over Dijkstra,Speedup Gunrock over Dijkstra,Speedup Gunrock over SLF-LLL,Average visited Bellman-Ford,Average visited Dijkstra,Average visited SLF-LLL
random92,rand500000_92_15,500000,46264362,0.000185058,170,21,92.5287,224.715,0.000188559,0.000190605,992.9268,471.71361999999993,16.566751999999997,2.104935617504536,59.93491059683878,28.473512490559404,167579900.0,169523590.0,85910098.0
random92,rand250000_92_25,250000,23113498,0.000369817,209,0,92.454,627.964,0.000396421,0.000414712,430.65598999999986,210.65667000000002,8.765389099999998,2.0443501266776876,49.13141733776541,24.032780244746927,80762576.0,84994581.0,43015596.0
random92,rand250000_92_20,250000,23143362,0.000370295,195,2,92.5734,399.177,0.000385973,0.000396087,422.21770999999995,199.35569999999998,8.862153600000001,2.1179114015801903,47.64278854295641,22.495175439071602,80663787.0,84944205.0,42398175.0
random92,rand50000_92_5,50000,4625542,0.00185025,117,73,92.5108,25.2722,0.00181799,0.00181928,58.14523,26.46975000000001,2.5617085,2.1966671389038424,22.697832325574904,10.33285012717099,14627753.0,16905265.0,7870804.7
random92,rand250000_92_30,250000,23118846,0.000369903,237,0,92.4754,901.49,0.000412587,0.000442659,434.17462,210.37203999999997,8.7161383,2.063841848945326,49.81272727166341,24.13592267116734,80267560.0,85280659.0,43740532.0
random92,rand100000_92_0,100000,9200000,0.000920009,92,92,92.0,0.0,0.000899405,0.000899405,134.2724,62.90766999999999,4.0754748,2.134436071149989,32.94644344261434,15.435666538779723,30550323.0,33582515.0,16090449.0
random92,rand500000_92_30,500000,46259182,0.000185037,223,0,92.5184,902.663,0.000205974,0.000220578,970.9491399999999,470.88219999999995,16.509246,2.061978855858217,58.81244606810026,28.522332273684693,166373590.0,170674720.0,89507684.0
random92,rand100000_92_10,100000,9251048,0.000925114,134,50,92.5105,99.5784,0.000918284,0.000921949,138.49806999999998,65.05847,4.1345032,2.128824578874972,33.49811653308189,15.735498765607437,30687560.0,33864465.0,16271421.0
random92,rand500000_92_20,500000,46236268,0.000184945,184,0,92.4725,401.769,0.000192265,0.000197196,990.4039400000001,472.72781,16.567015,2.095082876550039,59.781677025100784,28.534277900997854,166809000.0,169677300.0,86614238.0
random92,rand100000_92_5,100000,9246904,0.0009247,113,69,92.469,25.1091,0.000914425,0.00091502,139.67616,65.63777,4.112401200000001,2.1279845430458715,33.96462387959618,15.96093542624197,30685615.0,33782545.0,16145331.0
random92,rand50000_92_30,50000,4618988,0.00184763,208,0,92.3798,909.241,0.00205716,0.00220177,58.03927000000001,27.306099999999997,2.6137551,2.1255056562453083,22.205320613243376,10.447076698195632,14515522.0,17038178.0,8315600.4
random92,rand250000_92_10,250000,23123580,0.000369979,136,46,92.4943,100.123,0.000369139,0.000370623,433.13495,205.28438999999997,8.751217200000001,2.109926380666353,49.49425206815801,23.4578099604247,80661270.0,84591913.0,41516806.0
random92,rand100000_92_15,100000,9239358,0.000923945,155,34,92.3936,225.154,0.000937165,0.000948044,140.44834,66.01107,4.1031702,2.127648286870672,34.22922597751368,16.087821558072342,30721025.0,33830366.0,16316382.0
random92,rand50000_92_25,50000,4625494,0.00185023,195,0,92.5099,625.002,0.00198753,0.00208073,58.66657,27.258170000000003,2.6020534999999994,2.1522563693747596,22.546258176474854,10.475637799145948,14610156.0,17020863.0,8146447.3
random92,rand500000_92_10,500000,46248110,0.000184993,137,46,92.4962,99.9252,0.000184589,0.000185334,994.4270300000001,471.09049999999996,16.548885,2.1109044440505595,60.090273755603484,28.466600619920918,167282980.0,169208800.0,85322241.0
random92,rand50000_92_20,50000,4626404,0.0018506,171,4,92.5281,399.39,0.00192955,0.00198139,59.256890000000006,27.78322,2.5834010000000003,2.1328301759119355,22.93755015191215,10.754513139849369,14713918.0,16971742.0,8102514.3
